Id;Year;Month;Day;TSU;EQ;Name;Location;Country;Latitude;Longitude;Elevation;Type;Status;Time;VEI;Agent;DEATHS;DEATHS_DESCRIPTION;MISSING;MISSING_DESCRIPTION;INJURIES;INJURIES_DESCRIPTION;DAMAGE_MILLIONS_DOLLARS;DAMAGE_DESCRIPTION;HOUSES_DESTROYED;HOUSES_DESTROYED_DESCRIPTION;TOTAL_DEATHS;TOTAL_DEATHS_DESCRIPTION;TOTAL_MISSING;TOTAL_MISSING_DESCRIPTION;TOTAL_INJURIES;TOTAL_INJURIES_DESCRIPTION;TOTAL_DAMAGE_MILLIONS_DOLLARS;TOTAL_DAMAGE_DESCRIPTION;TOTAL_HOUSES_DESTROYED;TOTAL_HOUSES_DESTROYED_DESCRIPTION
1;-4360;;;;;Macauley Island;Kermadec Is;New Zealand;-30.2;-178.47;238;Caldera;Holocene;U;6;;;;;;;;;;;;;;;;;;;;;
2;-4350;;;;;Kikai;Ryukyu Is;Japan;30.78;130.28;717;Caldera;Historical;D1;7;P;;3;;;;;;3;;3;;3;;;;;;3;;3
3;-4050;;;;;Masaya;Nicaragua;Nicaragua;11.984;-86.161;635;Caldera;Historical;D1;6;;;;;;;;;;;;;;;;;;;;;
4;-4000;;;;;Pago;New Britain-SW Pac;Papua New Guinea;-5.58;150.52;742;Caldera;Historical;D2;6;T;;1;;;;;;1;;;;1;;;;;;1;;
5;-3580;;;;;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;Historical;D1;6;;;;;;;;;;;;;;;;;;;;;
6;-3550;;;;;Pinatubo;Luzon-Philippines;Philippines;15.13;120.35;1486;Stratovolcano;Historical;D1;6;;;;;;;;;;;;;;;;;;;;;
7;-2420;;;;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;Historical;D2;5;P,T;;;;;;;;;;;;;;;;;;;;
8;-2040;;;;;Long Island;New Guinea-NE of;Papua New Guinea;-5.358;147.12;1280;Complex volcano;Historical;D1;6;;;;;;;;;;;;;;;;;;;;;
9;-1900;;;;;Black Peak;Alaska Peninsula;United States;56.53;-158.8;1032;Stratovolcano;Radiocarbon;D7;6;;;;;;;;;;;;;;;;;;;;;
10;-1860;;;;;St. Helens;US-Washington;United States;46.2;-122.18;2549;Stratovolcano;Historical;D1;6;;;;;;;;;;;;;;;;;;;;;
11;-1750;;;;;Veniaminof;Alaska Peninsula;United States;56.17;-159.38;2507;Stratovolcano;Historical;D1;6;;;;;;;;;;;;;;;;;;;;;
12;-1645;;;;;Aniakchak;Alaska Peninsula;United States;56.88;-158.17;1341;Caldera;Historical;D2;6;;;;;;;;;;;;;;;;;;;;;
13;-1610;;;TSU;EQ;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;Historical;D2;6;W;;3;;;;;;3;;;;3;;;;;;3;;
14;-1550;;;TSU;;Redoubt;Alaska-SW;United States;60.48;-152.75;3108;Stratovolcano;Historical;D1;;;;;;;;;;;;;;;;;;;;;;
15;-1460;;;;;Taupo;New Zealand;New Zealand;-38.82;176;760;Caldera;Radiocarbon;D6;6;;;;;;;;;;;;;;;;;;;;;
16;-1370;;;;;Pago;New Britain-SW Pac;Papua New Guinea;-5.58;150.52;742;Caldera;Historical;D2;6;;;;;;;;;;;;;;;;;;;;;
17;-1050;;;;;Pinatubo;Luzon-Philippines;Philippines;15.13;120.35;1486;Stratovolcano;Historical;D1;6;;;;;;;;;;;;;;;;;;;;;
18;-1010;;;;;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;D1;5;;;3;;;;;;;;;;3;;;;;;;;
19;-455;;;;;Cotopaxi;Ecuador;Ecuador;-0.677;-78.436;5911;Stratovolcano;Historical;D2;4;M;;1;;;;;;;;;;1;;;;;;;;
20;-250;;;;;Raoul Island;Kermadec Is;New Zealand;-29.27;-177.92;516;Stratovolcano;Historical;D1;6;;;;;;;;;;;;;;;;;;;;;
21;-197;;;TSU;;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;Historical;D2;3;;;;;;;;;;;;;;;;;;;;;
22;-150;;;;;St. Andrew Strait;Admiralty Is-SW Paci;Papua New Guinea;-2.38;147.35;270;Complex volcano;Historical;D2;;;;3;;;;;;;;;;3;;;;;;;;
23;-141;;;;;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;;;40;1;;;;;;;;;40;1;;;;;;;;
24;-100;;;;;Okmok;Aleutian Is;United States;53.42;-168.13;1073;Shield volcano;Historical;D1;6;;;;;;;;;;;;;;;;;;;;;
25;-50;;;;;Apoyeque;Nicaragua;Nicaragua;12.242;-86.342;518;Pyroclastic shield;Radiocarbon;D7;6;;;;;;;;;;;;;;;;;;;;;
26;46;;;TSU;;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;Historical;D2;3;;;;;;;;;;;;;;;;;;;;;
27;50;;;;;Ambrym;Vanuatu-SW Pacific;Vanuatu;-16.25;168.12;1334;Pyroclastic shield;Historical;D1;6;;;;;;;;;;;;;;;;;;;;;
28;60;;;;;Bona-Churchill;Alaska-E;United States;61.38;-141.75;5005;Stratovolcano;Radiocarbon;D6;6;;;;;;;;;;;;;;;;;;;;;
29;79;8;25;;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;Historical;D2;5;P,T;2100;4;;;;;;;;;2100;4;;;;;;;;
30;200;;;;;Arhab, Harra of;Arabia-S;Yemen;15.63;44.08;3100;Volcanic field;Historical;D6;;;;;;;;;;1;;;;;;;;;;1;;
31;230;;;;;Taupo;New Zealand;New Zealand;-38.82;176;760;Caldera;Radiocarbon;D6;6;;;;;;;;;;;;;;;;;;;;;
32;240;;;;;Ksudach;Kamchatka;Russia;51.8;157.53;1079;Stratovolcano;Historical;D2;6;;;;;;;;;;;;;;;;;;;;;
33;350;;;TSU;;Augustine;Alaska-SW;United States;59.37;-153.42;1252;Lava dome;Historical;D1;;;;;;;;;;;;;;;;;;;;;;
34;416;;;TSU;;Krakatau;Indonesia;Indonesia;-6.102;105.423;813;Caldera;Historical;D1;;W;;1;;;;;;1;;;;3;;;;;;4;;
35;450;;;;;Ilopango;El Salvador;El Salvador;13.672;-89.053;450;Caldera;Historical;D3;6;;30000;4;;;;;;;;;30000;4;;;;;;;;
36;500;;;;;Arhab, Harra of;Arabia-S;Yemen;15.63;44.08;3100;Volcanic field;Historical;D6;;;;;;;;;;1;;;;;;;;;;1;;
37;540;;;;;Rabaul;New Britain-SW Pac;Papua New Guinea;-4.271;152.203;688;Pyroclastic shield;Historical;D1;6;;;;;;;;;1;;;;;;;;;;;;
38;590;;;;;San Salvador;El Salvador;El Salvador;13.736;-89.286;1893;Stratovolcano;Historical;D2;;;;1;;;;;;;;;;1;;;;;;;;
39;640;;;;;Uwayrid, Harrat;Arabia-W;Saudi Arabia;27.08;37.25;1900;Volcanic field;Anthropology;D6;2;T;;1;;;;;;;;;;1;;;;;;;;
40;710;;;;;Pago;New Britain-SW Pac;Papua New Guinea;-5.58;150.52;742;Caldera;Historical;D2;6;;;;;;;;;;;;;;;;;;;;;
41;764;;;;;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;D1;4;T,L;80;2;;;;;;;;;80;2;;;;;;;;
42;766;7;20;TSU;EQ;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;D1;3;;;3;;;;;;;;;;3;;;;;;;;
43;787;;;;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;Historical;D2;3;;;1;;;;;;1;;;;1;;;;;;1;;
44;800;;;;;Bona-Churchill;Alaska-E;United States;61.38;-141.75;5005;Stratovolcano;Radiocarbon;D6;6;;;;;;;;;;;;;;;;;;;;;
45;800;;;;;Dakataua;New Britain-SW Pac;Papua New Guinea;-5.056;150.108;400;Caldera;Anthropology;D3;6;;;;;;;;;;;;;;;;;;;;;
46;920;;;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;4;;;;;;;;;1;;;;;;;;;;;;
47;930;;;;;Ceboruco;Mexico;Mexico;21.125;-104.508;2280;Stratovolcano;Historical;D3;6;;;;;;;;;;;;;;;;;;;;;
48;934;;;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;4;;;;;;;;;1;;;;;;;;;;1;;
49;950;;;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;;;;;;;;;;1;;;;;;;;;;;;
50;1000;;;;;Changbaishan;China-E;North Korea;41.98;128.08;2744;Stratovolcano;Historical;D4;7;;;;;;;;;;;;;;;;;;;;;
51;1050;;;TSU;;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;Historical;D2;;;;;;;;;;;;;;;;;;;;;;
52;1104;10;15;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;5;;;;;;;;;1;;;;;;;;;;1;;
53;1151;;;;;Krisuvik;Iceland-SW;Iceland;63.93;-22.1;379;Crater rows;Historical;D6;1;;;;;;;;;1;;;;;;;;;;1;;
54;1158;1;19;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;4;;;;;;;;;1;;;;;;;;;;1;;
55;1169;2;4;TSU;EQ;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;;S,W;;;;;;;;;;;16000;4;;;;;;4;;
56;1169;2;11;TSU;;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;;;;;;;;;;;;;;;;;;;;;;
57;1177;;;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;3;;;;;;;;;1;;;;;;;;;;1;;
58;1206;12;4;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;2;;;;;;;;;1;;;;;;;;;;1;;
59;1250;;;;;Fentale;Africa-NE;Ethiopia;8.975;39.93;2007;Stratovolcano;Historical;D3;;;;;;;;;;1;;;;;;;;;;;;
60;1262;;;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;3;F;;1;;;;;;;;;;1;;;;;;;;
61;1280;;;;;Quilotoa;Ecuador;Ecuador;-0.85;-78.9;3914;Caldera;Radiocarbon;D6;6;;;;;;;;;1;;;;;;;;;;;;
62;1300;7;11;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;4;;;;;;;;;;;;600;3;;;;;;;;
63;1302;;;;;Ischia;Italy;Italy;40.73;13.897;789;Complex volcano;Historical;D6;;;;1;;;;;;;;;;1;;;;;;;;
64;1311;1;18;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;4;F;;2;;;;;;;;;;2;;;;;;;;
65;1311;;;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;D1;3;;;1;;;;;;;;;;1;;;;;;;;
66;1329;6;28;TSU;;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;3;;;;;;;;;;;;;;;;;;;1;;1
67;1329;7;;;;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;1;I;;3;;;;;;;;;;3;;;;;;;;
68;1331;12;;;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;D1;2;;;1;;;;;;;;;;1;;;;;;;;
69;1334;;;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;D1;3;;;1;;;;;;;;;;1;;;;;;;;
70;1341;5;19;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;3;;;;;;;;;1;;;;;;;;;;1;;
71;1357;;;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;4;;;;;;;;;1;;;;;;;;;;1;;
72;1362;6;5;;;Oraefajokull;Iceland-SE;Iceland;64;-16.65;2119;Stratovolcano;Historical;D4;5;T,F;220;3;;;;;;;;;220;3;;;;;;;;
73;1375;;;;;Chichon, El;Mexico;Mexico;17.36;-93.228;1150;Tuff cone;Historical;D1;5;M;;2;;;;;;;;;;2;;;;;;;;
74;1376;;;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;D1;3;;;1;;;;;;;;;;1;;;;;;;;
75;1385;;;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;D1;3;;;1;;;;;;;;;;1;;;;;;;;
76;1389;12;1;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;3;;;;;;;;;1;;;;;;;;;;1;;
77;1410;3;5;;;Nasu;Honshu-Japan;Japan;37.12;139.97;1917;Stratovolcano;Historical;D2;3;;180;3;;;;;;;;;180;3;;;;;;;;
78;1452;;;;;Kuwae;Vanuatu-SW Pacific;Vanuatu;-16.829;168.536;-2;Caldera;Historical;D1;6;P;;3;;;;;;;;;;3;;;;;;;;
79;1471;11;3;;;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;D1;5;P;;3;;;;;;;;;;3;;;;;;;;
80;1477;2;;;;Bardarbunga;Iceland-NE;Iceland;64.63;-17.53;2000;Stratovolcano;Historical;D2;6;;;;;;;;;1;;;;;;;;;;1;;
81;1485;1;;;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;D1;2;;1;1;;;;;;;;;1;1;;;;;;;;
82;1500;;;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;4;;;;;;;;;1;;;;;;;;;;1;;
83;1510;7;25;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;4;T;1;1;;;;;;;;;1;1;;;;;;;;
84;1510;10;15;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;4;I;;;;;;;;;;;;3;;;;;;;;
85;1536;3;23;;;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;3;T;1;1;;;;;;;;;1;1;;;;;;;;
86;1538;9;29;;;Campi Flegrei;Italy;Italy;40.827;14.139;458;Caldera;Historical;D5;3;T;24;1;;;;;;;;;24;1;;;;;;;;
87;1540;;;TSU;;Augustine;Alaska-SW;United States;59.37;-153.42;1252;Lava dome;Historical;D1;4;;;;;;;;;;;;;;;;;;;;;
88;1550;11;;;;Dukono;Halmahera-Indonesia;Indonesia;1.68;127.88;1185;Complex volcano;Historical;D1;3;;;1;;;;;;;;;;1;;;;;;;;
89;1564;12;31;;;Gamkonora;Halmahera-Indonesia;Indonesia;1.375;127.52;1635;Stratovolcano;Historical;D1;3;;;1;;;;;;;;;;1;;;;;;;;
90;1565;8;;;EQ;Pacaya;Guatemala;Guatemala;14.381;-90.601;2552;Complex volcano;Historical;D1;3;;;;;;;;;1;;;;;;;;;;1;;
91;1566;10;31;;;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield volcano;Historical;D1;3;;;3;;;;;;;;;;3;;;;;;;;
92;1568;;;;;Savo;Solomon Is-SW Pacifi;Solomon Is.;-9.13;159.82;510;Stratovolcano;Historical;D3;3;P,T,M;1001;4;;;;;;;;;1001;4;;;;;;;;
93;1570;;;;;Mombacho;Nicaragua;Nicaragua;11.826;-85.968;1344;Stratovolcano;Holocene;U;;A;400;3;;;;;;;;;400;3;;;;;;;;
94;1576;;;;;Colima;Mexico;Mexico;19.514;-103.62;3850;Stratovolcano;Historical;D1;3;;;1;;;;;;;;;;1;;;;;;;;
95;1580;5;1;;;San Jorge;Azores;Portugal;38.65;-28.08;1053;Fissure vent;Historical;D2;3;P;10;1;;;;;;;;;10;1;;;;;;;;
96;1580;8;11;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;4;;;;;;;;;;;;;;;;;;;;;
97;1580;;;;;Billy Mitchell;Bougainville-SW Paci;Papua New Guinea;-6.092;155.225;1544;Pyroclastic shield;Radiocarbon;D5;6;;;;;;;;;;;;;;;;;;;;;
98;1581;12;26;;;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;D1;4;;;;;;;;;1;;;;;;;;;;1;;
99;1586;;;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;D1;5;;10000;4;;;;;;;;;10000;4;;;;;;;;
100;1587;;;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;D1;4;;;1;;;;;;;;;;1;;;;;;;;
101;1590;1;15;;;Colima;Mexico;Mexico;19.514;-103.62;3850;Stratovolcano;Historical;D1;3;I;;3;;;;;;;;;;3;;;;;;;;
102;1593;;;;;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;Historical;D1;5;;;3;;;;;;;;;;3;;;;;;;;
103;1595;3;12;;;Ruiz;Colombia;Colombia;4.895;-75.322;5321;Stratovolcano;Historical;D1;4;M;636;3;;;;;;;;;636;3;;;;;;;;
104;1596;5;1;;;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;Historical;D1;2;T;;3;;;;;;;;;;3;;;;;;;;
105;1597;1;3;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;4;;;;;;;;;1;;;;;;;;;;1;;
106;1597;;;;;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;Historical;D1;3;T;;1;;;;;;;;;;1;;;;;;;;
107;1598;5;13;;;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;Historical;D1;2;T;800;3;;;;;;;;;800;3;;;;;;;;
108;1598;;;;;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;Historical;D1;3;;;1;;;;;;;;;;1;;;;;;;;
109;1600;2;19;;EQ;Huaynaputina;Peru;Peru;-16.608;-70.85;4850;Stratovolcano;Historical;D5;6;;1500;4;;;;;;;;;1500;4;;;;;;;;
110;1606;1;23;TSU;;Hachijo-jima;Izu Is-Japan;Japan;33.13;139.77;854;Stratovolcano;Historical;D5;2;;;;;;;;;;;;;;;;;;;;;
111;1608;7;18;TSU;;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;D1;3;;;;;;;;;1;;;;;;;;;;;;
112;1609;;;;;Tengchong;China-S;China;25.32;98.47;2865;Pyroclastic cone;Historical;D5;;E;;1;;;;;;;;;;1;;;;;;;;
113;1615;3;;;;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;Historical;D1;3;;;;;;;;;2;;2;;;;;;;;2;;2
114;1617;;;;;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;D1;3;;;;;;;;;;;;;;;;;;;;;
115;1625;9;2;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;5;;;;;;;;;;;;;;;;;;;;;
116;1629;;;;;Grimsvotn;Iceland-NE;Iceland;64.42;-17.33;1725;Caldera;Historical;D1;2;F;4;1;;;;;;;;;4;1;;;;;;;;
117;1630;9;3;;;Furnas;Azores;Portugal;37.77;-25.32;805;Stratovolcano;Historical;D5;4;M,T;200;3;;;;;;;;;200;3;;;;;;;;
118;1631;2;14;;EQ;Dama Ali;Africa-NE;Ethiopia;11.28;41.63;1068;Shield volcano;Historical;D5;;S;50;1;;;;;;2;;;50;1;;;;;;2;;
119;1631;12;16;TSU;EQ;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;Historical;D2;5;P,E,M;4000;4;;;;;;4;;4;4000;4;;;;;;4;;4
120;1636;5;15;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;3;;;;;;;;;1;;;;;;;;;;1;;
121;1638;;;;;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;Historical;D1;4;M;1001;4;;;;;;;;;1001;4;;;;;;;;
122;1640;7;31;TSU;EQ;Komaga-take;Hokkaido-Japan;Japan;42.07;140.68;1140;Stratovolcano;Historical;D1;5;W;;;;;;;;;;;700;3;;;;;;1;20;1
123;1640;;;;;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;Historical;D1;3;P;5000;4;;;;;;;;4;5000;4;;;;;;;;4
124;1646;7;19;;;Makian;Halmahera-Indonesia;Indonesia;0.32;127.4;1357;Stratovolcano;Historical;D1;4;;;3;;;;;;;;;;3;;;;;;;;
125;1650;9;26;TSU;;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;Historical;D2;4;G,W,T;120;3;;;;;;;;;120;3;;;;;;;;
126;1659;9;30;;EQ;San Salvador;El Salvador;El Salvador;13.736;-89.286;1893;Stratovolcano;Historical;D2;3;S;;;;;;;;;;;;;;;;;;;;
127;1659;11;11;TSU;;Teon;Banda Sea;Pacific Ocean;-6.92;129.125;655;Stratovolcano;Historical;D2;4;;;;;;;;;;;;;;;;;;;;;
128;1660;2;;;;Teon;Banda Sea;Pacific Ocean;-6.92;129.125;655;Stratovolcano;Historical;D2;4;G,T;3;1;;;;;;;;;3;1;;;;;;;;
129;1660;11;3;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;4;;;;;;;;;1;;;;;;;;;;1;;
130;1660;;;TSU;;Long Island;New Guinea-NE of;Papua New Guinea;-5.358;147.12;1280;Complex volcano;Historical;D1;6;T,P,W,I;2000;4;;;;;;3;;3;2000;4;;;;;;3;;3
131;1663;8;16;;;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;Historical;D1;5;T,P;5;1;;;;;;;;;5;1;;;;;;;;
132;1664;4;15;;;Unzen;Kyushu-Japan;Japan;32.75;130.3;1500;Complex volcano;Historical;D1;2;m;30;1;;;;;;;;;30;1;;;;;;;;
133;1664;;;TSU;;Iwo-Tori-shima;Ryukyu Is;Japan;27.85;128.25;217;Complex volcano;Historical;D1;;A;1;1;;;;;;;;;;1;;;;;;1;;1
134;1669;3;11;;EQ;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;3;;;3;;;;;;;;;;3;;;;;;;;
135;1669;3;19;;;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;3;L;2;1;;;5;1;;;;;2;1;;;5;1;;;;
136;1670;;;;;Aoba;Vanuatu-SW Pacific;Vanuatu;-15.4;167.83;1496;Shield volcano;Historical;D1;2;L;;3;;;;;;;;;;3;;;;;;;;
137;1672;4;24;;;Fayal;Azores;Portugal;38.6;-28.73;1043;Stratovolcano;Historical;D2;2;;3;1;;;;;;;;;3;1;;;;;;;;
138;1672;8;4;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;D1;3;P;3000;4;;;;;;;;;3000;4;;;;;;;;
139;1673;5;20;TSU;;Gamkonora;Halmahera-Indonesia;Indonesia;1.375;127.52;1635;Stratovolcano;Historical;D1;5;W;;;;;;;;1;;1;;3;;;;;;1;;1
